state,county_fips,county_name,Diabetes_pct,Obesity_pct,Coronary Heart Disease_pct,Asthma_pct,High Blood Pressure_pct,Depression_pct,total_population
NY,04046,NY County 1,9.0,36.2,6.9,10.8,29.8,25.3,713552
NY,04047,NY County 2,9.7,25.7,4.1,7.0,10.4,19.8,918229
NY,04048,NY County 3,13.9,34.3,4.2,9.0,31.6,23.4,334032
NY,04049,NY County 4,11.9,33.5,5.3,7.4,30.2,20.1,605897
NY,04050,NY County 5,6.2,23.6,6.2,6.2,37.6,20.1,803509
NY,04051,NY County 6,11.9,36.0,7.0,11.7,46.8,24.7,780800
NY,04052,NY County 7,9.9,37.6,8.9,14.0,41.0,17.4,261973
NY,04053,NY County 8,9.1,41.9,7.9,6.2,29.8,20.5,291097
NY,04054,NY County 9,12.7,41.7,6.2,10.8,23.1,17.7,384826
NY,04055,NY County 10,13.8,21.6,6.5,8.0,52.6,17.8,522257
NY,04056,NY County 11,13.6,25.3,4.9,8.3,32.5,18.5,862321
NY,04057,NY County 12,8.7,37.2,6.5,8.1,32.1,21.1,687181
NY,04058,NY County 13,10.1,37.2,6.0,7.4,31.8,17.6,438783
NY,04059,NY County 14,11.9,37.2,7.0,9.6,33.6,26.3,123374
NY,04060,NY County 15,13.7,60.0,5.2,7.5,30.8,15.5,557148
OH,05061,OH County 1,9.7,37.7,7.3,10.1,27.4,19.1,684555
OH,05062,OH County 2,10.5,42.4,9.0,9.4,27.6,17.8,609763
OH,05063,OH County 3,8.0,40.9,6.3,8.9,31.7,27.2,492090
OH,05064,OH County 4,7.7,38.4,7.2,7.3,27.7,21.0,881698
OH,05065,OH County 5,13.2,30.4,7.6,8.1,26.3,25.2,684787
OH,05066,OH County 6,14.7,39.3,5.8,11.3,32.9,12.6,895164
OH,05067,OH County 7,10.8,26.6,6.9,10.7,30.0,21.3,297227
OH,05068,OH County 8,13.8,31.0,6.5,7.2,44.0,24.4,750406
OH,05069,OH County 9,12.0,29.0,6.7,9.7,10.8,20.4,851804
OH,05070,OH County 10,9.2,33.7,5.2,11.3,40.7,25.3,656074
OH,05071,OH County 11,12.0,52.1,6.5,5.5,42.0,17.4,540101
OH,05072,OH County 12,15.2,17.6,7.3,10.8,15.4,27.0,39598
OH,05073,OH County 13,10.9,38.7,8.9,7.9,29.3,31.5,513934
OH,05074,OH County 14,15.3,19.7,8.1,10.9,29.0,18.2,790239
OH,05075,OH County 15,3.8,29.1,10.0,7.7,20.7,17.8,625394
GA,06076,GA County 1,13.3,42.0,5.3,5.2,25.8,27.3,297226
GA,06077,GA County 2,11.2,33.5,7.9,5.6,23.1,27.9,823673
GA,06078,GA County 3,10.2,24.1,6.8,9.6,46.0,17.4,235286
GA,06079,GA County 4,11.3,27.1,10.1,10.1,39.5,17.9,445785
GA,06080,GA County 5,5.5,38.6,5.2,7.4,42.2,18.6,19745
GA,06081,GA County 6,10.4,27.0,5.1,11.0,37.8,13.3,820461
GA,06082,GA County 7,12.0,34.8,5.5,5.6,23.0,15.4,152097
GA,06083,GA County 8,15.1,33.4,3.0,9.3,27.8,15.0,240732
GA,06084,GA County 9,9.6,27.6,5.6,6.6,35.9,16.2,917827
GA,06085,GA County 10,8.8,50.7,5.3,8.0,22.2,19.8,677648
GA,06086,GA County 11,9.6,38.2,6.7,9.6,37.7,21.2,621474
GA,06087,GA County 12,13.5,16.3,7.1,7.5,30.1,27.8,932044
GA,06088,GA County 13,11.9,34.5,9.5,8.6,29.0,15.0,892200
GA,06089,GA County 14,9.5,27.5,8.0,11.9,37.7,24.9,221030
GA,06090,GA County 15,12.4,40.0,5.6,8.1,35.6,18.9,732238
MI,07091,MI County 1,11.3,26.5,5.0,11.5,29.1,19.8,574134
MI,07092,MI County 2,13.7,32.1,7.3,6.8,41.3,23.4,346076
MI,07093,MI County 3,9.1,37.2,4.4,10.8,23.4,14.4,156554
MI,07094,MI County 4,10.1,40.1,9.5,12.9,36.9,21.9,293555
MI,07095,MI County 5,9.9,23.1,8.4,3.6,36.7,20.8,452191
MI,07096,MI County 6,7.0,30.2,5.7,7.6,29.5,22.5,461761
MI,07097,MI County 7,11.8,29.1,3.7,10.9,34.6,21.4,513518
MI,07098,MI County 8,11.7,27.6,8.7,9.0,22.0,32.3,348941
MI,07099,MI County 9,11.0,47.6,6.3,10.4,39.4,16.8,322451
MI,07100,MI County 10,10.4,36.3,8.5,8.1,30.5,17.3,928597
MI,07101,MI County 11,7.1,22.6,3.9,9.7,27.8,16.9,292186
MI,07102,MI County 12,9.8,40.6,5.5,9.1,40.4,17.2,585218
MI,07103,MI County 13,10.1,50.5,6.5,12.3,26.4,16.8,780944
MI,07104,MI County 14,8.8,41.5,6.6,10.1,20.7,25.9,445629
MI,07105,MI County 15,10.6,20.5,5.8,10.3,19.5,27.1,776747
PA,08106,PA County 1,12.1,29.0,7.5,8.5,36.8,17.1,232695
PA,08107,PA County 2,16.2,43.5,4.8,8.3,21.8,15.8,892315
PA,08108,PA County 3,11.5,27.2,6.3,8.5,46.0,22.4,303900
PA,08109,PA County 4,11.7,36.7,6.7,10.4,15.3,17.2,61268
PA,08110,PA County 5,10.8,39.4,7.3,8.5,45.6,23.2,440430
PA,08111,PA County 6,5.7,25.4,7.7,10.2,33.7,21.0,220943
PA,08112,PA County 7,10.9,32.5,4.7,14.4,31.2,12.4,791204
PA,08113,PA County 8,11.2,6.3,4.0,11.6,27.6,27.7,429818
PA,08114,PA County 9,17.8,24.5,8.6,8.7,35.2,29.0,716691
PA,08115,PA County 10,10.5,30.9,7.0,12.4,31.7,16.9,581189
PA,08116,PA County 11,11.8,22.7,5.3,8.5,40.8,18.1,370130
PA,08117,PA County 12,10.9,46.5,9.0,4.7,32.9,21.4,202488
PA,08118,PA County 13,7.8,21.2,6.7,7.1,33.2,21.7,695556
PA,08119,PA County 14,14.1,29.4,8.4,5.1,29.1,23.3,398530
PA,08120,PA County 15,13.1,34.1,6.6,8.7,31.5,30.1,800058
NC,09121,NC County 1,13.2,44.9,9.8,9.5,34.5,19.1,670784
NC,09122,NC County 2,8.5,21.2,9.4,13.5,18.3,16.0,807289
NC,09123,NC County 3,14.9,42.6,6.1,10.3,21.2,13.1,249531
NC,09124,NC County 4,7.1,33.1,8.1,9.0,37.9,16.3,254693
NC,09125,NC County 5,12.6,24.9,7.5,11.5,33.4,19.8,945486
NC,09126,NC County 6,17.0,36.8,8.7,4.2,30.5,29.0,927484
NC,09127,NC County 7,8.3,34.6,4.9,10.1,32.1,17.4,711650
NC,09128,NC County 8,9.4,28.0,7.6,11.3,34.8,21.1,558719
NC,09129,NC County 9,11.3,33.6,8.2,6.0,27.7,19.9,879408
NC,09130,NC County 10,9.6,29.8,3.6,12.2,25.8,25.9,246360
NC,09131,NC County 11,6.7,33.9,4.6,10.3,33.6,32.6,352855
NC,09132,NC County 12,11.2,38.5,3.2,8.5,24.2,17.3,515403
NC,09133,NC County 13,8.1,46.1,6.1,11.0,35.3,17.6,34385
NC,09134,NC County 14,12.3,22.8,7.7,14.9,18.4,25.2,439374
NC,09135,NC County 15,8.5,50.6,8.9,9.9,40.2,23.4,424235
AZ,10136,AZ County 1,15.3,16.9,6.6,10.1,35.8,29.2,288783
AZ,10137,AZ County 2,8.8,31.7,9.1,8.4,34.0,22.9,93530
AZ,10138,AZ County 3,10.1,37.9,4.3,7.5,39.9,18.2,763271
AZ,10139,AZ County 4,13.2,35.3,3.7,11.5,45.3,23.0,291707
AZ,10140,AZ County 5,7.6,27.9,6.4,7.5,40.1,25.5,385816
AZ,10141,AZ County 6,11.6,31.3,7.1,9.7,17.3,24.1,931280
AZ,10142,AZ County 7,14.6,28.9,6.4,8.4,21.8,22.5,437660
AZ,10143,AZ County 8,6.6,28.1,3.1,10.6,27.0,25.3,409927
AZ,10144,AZ County 9,11.5,40.0,6.4,10.3,32.2,25.8,737678
AZ,10145,AZ County 10,11.7,35.9,4.4,12.0,36.1,26.9,353114
AZ,10146,AZ County 11,13.2,27.3,7.6,8.3,26.2,23.2,251373
AZ,10147,AZ County 12,7.6,40.4,7.1,8.9,33.5,19.2,355697
AZ,10148,AZ County 13,7.4,35.5,5.0,7.2,26.0,20.7,169779
AZ,10149,AZ County 14,12.4,39.7,5.7,8.4,27.1,26.0,178182
AZ,10150,AZ County 15,11.8,38.2,4.8,10.4,20.7,15.9,725148
